state,median_price
Hawaii,839013
California,765197
District of Columbia,610548
Massachusetts,596410
Washington,575894
Colorado,539151
Utah,509433
New Jersey,503432
Oregon,487244
New Hampshire,454948
New York,453138
Montana,448238
Idaho,443500
Rhode Island,438711
Arizona,426680
Nevada,426267
Maryland,406843
Florida,392306
Connecticut,384244
Maine,382580
Virginia,377699
Delaware,374252
Vermont,373001
Alaska,349502
United States,347716
Wyoming,334782
Minnesota,323034
North Carolina,322527
Georgia,321821
Tennessee,311531
Texas,298624
South Dakota,292551
New Mexico,292280
South Carolina,287882
Wisconsin,286394
Pennsylvania,255570
Nebraska,251315
Illinois,251267
North Dakota,248022
Missouri,238125
Michigan,232511
Indiana,231533
Alabama,221490
Ohio,217698
Kansas,217315
Iowa,208755
Oklahoma,199378
Arkansas,198838
Kentucky,196550
Louisiana,194308
Mississippi,171613
West Virginia,155491
